"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","population","TE","BH","signif"
"BEL-10_DWIL-I",387.531563970347,0.02167998352118,0.111389743006836,0.194631776103924,0.84568122501618,0.999945529425441,"chicharo vs makindu","BEL-10_DWIL-I",0.999945529425441,FALSE
"BEL-11_DAN-I",1.65107583080827,-0.0351902518153626,0.0687665863157263,-0.511734749399868,0.608836662611281,0.999945529425441,"chicharo vs makindu","BEL-11_DAN-I",0.999945529425441,FALSE
"BEL-11_DAN-LTR",0.712933269147083,-0.0232375590650018,0.0518094690294329,-0.448519537071506,0.653778289456527,0.999945529425441,"chicharo vs makindu","BEL-11_DAN-LTR",0.999945529425441,FALSE
"BEL-11_DBP-I",9.23640114387546,0.0110181930048875,0.0986979417509873,0.111635489144102,0.911112431624163,0.999945529425441,"chicharo vs makindu","BEL-11_DBP-I",0.999945529425441,FALSE
"BEL-11_DEL-I",225.075637291875,0.022543259321405,0.11151355900613,0.202157114545736,0.839793898526558,0.999945529425441,"chicharo vs makindu","BEL-11_DEL-I",0.999945529425441,FALSE
"BEL-11_DTA-I",38.6349867690688,0.0233895639597862,0.109821500888167,0.212978003128951,0.831344120033436,0.999945529425441,"chicharo vs makindu","BEL-11_DTA-I",0.999945529425441,FALSE
"BEL-11_DTA-LTR",1.03267950776709,-0.0256747480054021,0.060757174363383,-0.42257969160718,0.672601946230789,0.999945529425441,"chicharo vs makindu","BEL-11_DTA-LTR",0.999945529425441,FALSE
"BEL-11_DWIL-I",24.8579532265653,-0.0213676384780635,0.108159723472159,-0.197556334207563,0.843392201626898,0.999945529425441,"chicharo vs makindu","BEL-11_DWIL-I",0.999945529425441,FALSE
"BEL-12_DAN-I",8.74867734658437,-0.0364590497113077,0.0982165667696801,-0.371210793763591,0.710480534306312,0.999945529425441,"chicharo vs makindu","BEL-12_DAN-I",0.999945529425441,FALSE
"BEL-12_DBP-I",20.9463875799156,-0.00325417523398966,0.104902333349463,-0.0310209995343858,0.975252792524056,0.999945529425441,"chicharo vs makindu","BEL-12_DBP-I",0.999945529425441,FALSE
"BEL-12_DEL-I",158.992187008161,0.0253849333256238,0.110806322815498,0.229092823230782,0.818796771379818,0.999945529425441,"chicharo vs makindu","BEL-12_DEL-I",0.999945529425441,FALSE
"BEL-12_DTA-I",91.6743889830509,-0.00328806379044766,0.101312623689575,-0.0324546307331098,0.974109496382358,0.999945529425441,"chicharo vs makindu","BEL-12_DTA-I",0.999945529425441,FALSE
"BEL-12_DTA-LTR",1.12604646257051,0.0132808894024834,0.0606604671191754,0.218938132744533,0.826698241353895,0.999945529425441,"chicharo vs makindu","BEL-12_DTA-LTR",0.999945529425441,FALSE
"BEL-12_DWIL-I",96.858673379851,-0.0161353498503522,0.106164242247378,-0.1519847879925,0.879198933686524,0.999945529425441,"chicharo vs makindu","BEL-12_DWIL-I",0.999945529425441,FALSE
